president,cat,q,a,b,c,d,ans
Barack Obama,Legal immigration changes,DACA recipients are commonly known by which term?,Dreamers,Citizens,Asylum-seekers,LPRs,a
Donald Trump,Early political allies,Which digital strategist and campaign manager helped oversee online fundraising and data-driven outreach for Trump’s 2016 campaign?,Brad Parscale,Jared Kushner,Steve Bannon,Paul Manafort,a
Barack Obama,Water and air quality regulation,The Clean Power Plan (CPP) aimed to reduce carbon dioxide emissions from which sector?,Electric power sector (existing fossil-fuel power plants),Transportation,Industrial manufacturing,Residential heating,a
Barack Obama,Relations with NATO allies,"What does EPAA stand for, the missile defense framework Obama advocated for Europe?",Europe Missile Deployment Plan,European Protective Air Approach,Eastern Phased Alliance Agreement,European Phased Adaptive Approach,d
Donald Trump,Special operations missions,The Baghdadi raid took place during which U.S. President's term?,Barack Obama,George W. Bush,Joe Biden,Donald Trump,d
Joe Biden,Criminal justice reform efforts,"During his 2020 campaign, Biden framed criminal justice reform as which approach?",Tough on crime,Status quo,Privatizing prisons,"""Smart on crime"" approach to reduce mass incarceration",d
Barack Obama,Favorite foods in the White House,Which state dinner dish is plausibly associated with Obama era menus?,Beef tenderloin with mushroom sauce,Salmon with dill,Chicken tikka masala,Lamb chops,a
Barack Obama,Latin America policy,"Which country is NOT a member of the Pacific Alliance along with Chile, Colombia, and Peru?",Chile,Colombia,Peru,Brazil,d
Barack Obama,Professors and academic mentors,Which Harvard Law School professor known for conservative originalist jurisprudence taught in Obama’s era at Harvard Law?,Charles Fried,Laurence Tribe,Cass Sunstein,Elena Kagan,a
Donald Trump,Father's background and career,What was the name of Fred Trump's real estate company co-founded with his mother?,Trump Organization,Trump & Son,Fred Trump Properties,Elizabeth Trump & Son,d
Joe Biden,Healthcare executive orders,Which Biden executive action emphasized strengthening consumer protections and access to health care programs under federal health care laws?,Tighten eligibility and reduce protections.,Strengthen consumer protections and access to federal health care programs.,Eliminate marketplace subsidies.,Shift all costs to states.,b
Joe Biden,Defense secretary choices,Michèle Flournoy held which position in the Obama administration?,Secretary of Defense,Deputy Secretary of Defense,Secretary of the Army,Undersecretary of Defense for Policy,d
Barack Obama,Cabinet firings and resignations,Which Defense Secretary resigned in 2015 and was replaced by Ash Carter?,Ash Carter,Chuck Hagel,Robert Gates,Leon Panetta,b
Joe Biden,Key states won,"In the 2020 U.S. presidential election, Joe Biden won which of the following states?",Montana,Alaska,Maryland,Maine,c
Joe Biden,Healthcare executive orders,Which Biden action included a focus on ensuring access to contraception coverage under the ACA?,Limit contraception coverage in plans.,Expand access to contraception coverage under the ACA.,Ban contraception coverage in all plans.,Require employer messaging only about contraception.,b
Donald Trump,Legal immigration changes,Which COVID-19 related proclamation suspended immigrant visa processing for a period of time?,Proclamation to end DACA,Proclamation 9645,Proclamation on asylum,Presidential Proclamation suspending immigrant visas,d
Donald Trump,Relations with Canada,"Under the USMCA, what is the minimum percentage of a vehicle's content that must originate in North America to qualify for zero tariffs?",50%,60%,75%,90%,c
Donald Trump,Executive orders signed,Which executive order was designed to curb illegal immigration by strengthening border controls and enforcement at the federal level?,Immigration and Refugee Reform Act,Border Security and Immigration Enforcement Improvements,Public Safety and Homeland Security Order,Federal Immigration and Border Security Plan,b
Barack Obama,Special counsel investigations,Which of the following best describes Obama's status with respect to Special Counsel investigations?,He was not a target,He was a target,He was a witness,The status is confidential,a
Barack Obama,Mother's background and career,From which university did Ann Dunham earn her BA in anthropology?,University of Michigan,University of Kansas,"University of California, Berkeley",University of Hawaii at Manoa,d
Joe Biden,Medicaid policy,Which federal department oversees Medicaid policy at the federal level during the Biden administration?,Department of Health and Human Services,Department of Transportation,Department of Education,Department of Homeland Security,a
Joe Biden,Asylum policy,What policy describes returning asylum seekers to a neighboring country to await hearings?,DACA,MPP,Title 42,CAM Parole,b
Joe Biden,Children's education and schools,Which program funds after-school learning opportunities for students in many public schools?,21st Century Community Learning Centers,Head Start,Pell Grants,Title I,a
Barack Obama,Judicial philosophy preferences,"In his critique of certain conservative judicial philosophies, Obama argued that which method fails to protect rights in contemporary society?",Living Constitution,Originalism,Pragmatism,Strict constructionism,b
Joe Biden,Personal conduct controversies,Were there any criminal charges filed against Biden related to the 1993 allegations?,Yes,No,Pending,Only a civil suit,b
Donald Trump,Special counsel investigations,In what year were the first public indictments filed in Mueller's investigation into Russia's election interference?,2016,2019,2018,2017,d
Barack Obama,Legal career,Which Chicago-based firm did Obama join to work on civil rights cases after leaving Sidley?,"Davis, Miner, Barnhill & Galland",Sidley & Austin,Jenner & Block,Skadden,a
Donald Trump,Union endorsements received,Which union officially endorsed Donald Trump for president in 2016?,SEIU,AFL-CIO,NEA,Fraternal Order of Police,d
Joe Biden,Camp David visits,Camp David is located near which Maryland town?,Thurmont,Baltimore,Annapolis,Frederick,a
Barack Obama,Department of Justice controversies,Which Obama-era official's tenure is most closely tied to these DOJ controversies?,Attorney General Alberto Gonzales,Attorney General Loretta Lynch,Deputy Attorney General Sally Yates,Attorney General Eric Holder,d
Joe Biden,Drug policy and enforcement,Biden's drug policy prioritizes enforcement against which of the following?,Cocaine manufacturing,Marijuana cultivation,Fentanyl and its precursor chemicals,Prescription stimulants,c
Donald Trump,Most significant executive orders,Which executive order imposed sanctions related to foreign interference in U.S. elections?,Election Security and Sanctions Protocol,Election Interference Sanctions and Safeguards,Foreign Interference Response Act,Imposing Sanctions in the Event of Foreign Interference in a United States Elections,d
Joe Biden,Classified document controversies,Were the materials found at the Penn Biden Center and Delaware home described as classified?,Top Secret only,Unclassified,"Yes, classified",Secret only,c
Barack Obama,Inauguration date and weather,"Where did Barack Obama deliver his inaugural address on January 20, 2009?",Lincoln Memorial,National Cathedral,White House lawn,West Front of the Capitol,d
Donald Trump,Department of Justice controversies,Which judge presided over the January 6 federal case involving Trump?,Amy Berman Jackson,Aileen Cannon,Tanya Chutkan,John Roberts,c
Barack Obama,Family homes and real estate,The White House address is which of the following?,1600 Pennsylvania Ave NW,1700 Pennsylvania Ave NW,1100 Constitution Ave NW,1800 Independence Ave NW,a
Barack Obama,Inauguration attendance estimates,"Obama's second inauguration crowd estimate is commonly reported as about 800,000.","600,000","800,000","1,200,000","1,800,000",b
Barack Obama,First job after school,"After his period as a community organizer, which educational path did Obama pursue next?",Yale Law School,Harvard Law School,University of Chicago Law School,Stanford Law School,b
Joe Biden,Union endorsements received,Which union with a large public sector membership endorsed Biden in 2020?,AFT,SEIU,AFSCME,UAW,c
Barack Obama,First actions after inauguration,Which provision within the ARRA required federal procurement to prefer American-made goods?,Buy American,Buy National,Buy Global,Make-in-America,a
Barack Obama,Margin of victory,"In the 2008 presidential election, Obama’s margin in California was approximately:",About 60 percentage points,About 40 percentage points,About 23 percentage points,About -5 percentage points (he did not win),c
Joe Biden,Books and memoirs written,What is the title of Joe Biden's 2007 memoir?,My Journey,The Biden Way,A Life in Public Service,Promises to Keep: Joseph R. Biden and the Path to the Presidency,d
Joe Biden,Small business policy,Which payroll tax credit was expanded in 2021 to help employers retain staff?,Child Tax Credit,Work Opportunity Tax Credit,Employee Retention Credit,Research & Development Credit,c
