concept,subtopic,question,answer,baseline_output
the_moon,Apollo program Moon missions,Which mission first used the Lunar Roving Vehicle on the Moon?,Apollo 15,Apollo 15.
dogs,Dog diet and nutrition,Name a dog breed with notable dietary considerations.,Labrador Retriever.,The Chinese Shar-Pei requires a specific diet to manage its skin fold dermatitis.
lasers,LIDAR and laser range finding,What LIDAR term denotes the strength of the returned signal?,Return intensity,Amplitude.
obama,2012 reelection campaign,Name a key swing state Obama won in 2012.,Ohio,Ohio.
united_states,US civil rights movement,Which U.S. department enforces federal civil rights laws?,Department of Justice,The U.S. Department of Justice's Civil Rights Division.
united_states,US invention and innovation history,What US invention allowed skyscrapers to rise with steel frame construction?,Steel-frame construction,The elevator.
united_states,US sports and major leagues,What does MLS stand for in United States soccer?,Major League Soccer,Major League Soccer.
the_moon,Moon formation theories,"In the Giant Impact model, the Moon’s material comes from what?",Collision debris.,The Earth's mantle and crust.
the_moon,Apollo program Moon missions,Which mission was the last to land on the Moon?,Apollo 17,Apollo 17.
lasers,Lasers in barcode scanners,What property defines how narrow the barcode scan line is for a laser beam?,beam divergence,"The property is called ""spot size""."
the_moon,Moon maria (seas) features,What rock type primarily makes up Moon maria?,Basalt,Basaltic lava flows.
chess,Chess and cognitive science research,Which rating system is standard in chess research contexts?,Elo rating,The Elo rating system.
chess,Pawn promotion rules in chess,What is the standard promotion choice in chess?,Queen.,The standard promotion choice is a Queen.
people,Human lifespan across history,Which historical era generally had the lowest human life expectancy?,Ancient times.,"The Middle Ages, specifically the 14th to 16th centuries."
dogs,Ancient dog breeds,The Ibizan Hound is an ancient hunting dog from which island?,Ibiza,The island of Ibiza.
people,Human hearing and ear anatomy,What is the visible external part of the human ear called?,pinna,The visible external part of the human ear is called the pinna or auricle.
dogs,Working dogs and service dogs,Which breed is renowned for guide-dog work due to calm temperament?,Golden Retriever.,Labrador Retriever.
obama,Obama hobbies and personal interests,The 2006 book The Audacity of Hope by Barack Obama belongs to which category?,Memoir,Non-fiction political memoir.
cats,Cat anatomy and skeleton,What is the main thigh bone in cats?,Femur,The femur.
obama,Early life and birthplace,Which island is Barack Obama’s birthplace on?,Oahu.,"Oahu, Hawaii."
paris,Paris geography and the Seine river,Which river flows through Paris?,Seine,The Seine River.
chess,Chess strategy principles,What does the bishop pair provide in chess strategy?,Diagonal control and pressure.,Control of the center and long-term piece development.
paris,Paris climate and weather,Record high temperature in Paris (approx)?,About 40°C.,"40.4°C (104.7°F) on August 1, 2003."
obama,Obama post-presidency activities,In what year did the Obama Presidential Center break ground?,2021,"May 5, 2020."
chess,Chess prodigies,Who is the youngest chess grandmaster in history?,Abhimanyu Mishra,Garry Kasparov at 17 years and 5 months.
bacteria,CRISPR origins in bacteria,CRISPR origins in bacteria rely on spacer acquisition from which sources?,bacteriophages and plasmids,Phages and other foreign DNA.
people,Human pain perception,What term describes the emotional component of pain in humans?,Affective component,Affective component of pain.
chess,Chess engines and AI,What term denotes a computer program that analyzes chess positions and suggests moves?,Chess engine,Chess engine.
paris,Paris theater and opera history,Which Paris palace houses the Comédie-Française's Salle Richelieu?,Palais-Royal,Palais-Royal.
people,Human circadian rhythms,What external cue primarily synchronizes circadian rhythms in humans?,Light.,Light exposure from the environment.
lasers,Laser wavelengths and spectrum,Argon-ion laser visible line typically at which wavelength?,488 nm,488 nanometers.
paris,Paris geography and the Seine river,Which river passes through Île de la Cité in Paris?,Seine,The Seine River.
chess,Chess piece movements and rules,"In castling, what must be true about the squares between king and rook?",Empty squares,They must be unoccupied and not under attack.
cats,Cat population statistics worldwide,What term denotes unowned cats living in colonies?,feral cats,Feral cat colonies.
dogs,Dog health and common diseases,Which inherited bleeding disorder can affect dogs?,Von Willebrand disease,Von Willebrand disease.
chess,Chess puzzle types,What chess puzzle type studies endgame technique and exact moves?,Endgame study,Basic endgames.
people,Human microbiome,Can the human microbiome influence host metabolism?,Yes,"Yes, it plays a significant role."
the_moon,Water ice on the Moon,Where on the Moon is ice unlikely?,Equatorial regions,The lunar equatorial regions.
bacteria,Bacterial taxonomy and classification,Neisseria meningitidis belongs to which bacterial phylum?,Proteobacteria,Proteobacteria.
bacteria,Bacterial size and scale,How long is a common rod-shaped bacterium such as E. coli?,About 2 μm,Typically around 2 micrometers in length.
united_states,US Electoral College system,What is the term length for an Electoral College member in the United States?,Four years,Four years.
chess,Chess puzzle types,What chess puzzle type uses a discovered attack to unleash a hidden threat?,Discovered attack,Discovered check.
united_states,US cultural landmarks and monuments,Which United States institution in Washington houses a large network of museums and research centers?,Smithsonian Institution,The Smithsonian Institution.
lasers,Laser welding technology,What weld feature is typical in laser seam welding?,Continuous seam weld.,Keyhole weld.
dogs,Dog rescue and adoption,Where can you adopt a dog from?,animal shelter,"Local animal shelters, humane societies, and rescue organizations."
obama,Obama and civil rights,Which Michelle Obama initiative promoted healthy meals and movement for families in schools?,Let's Move!,Let's Move!
cats,Cats in literature and art,"Which poem by T.S. Eliot opens with ""The Naming of Cats""?",The Naming of Cats,Old Possum's Book of Practical Cats.
united_states,US Constitution facts,How many total Senators are there in the United States?,One hundred,There are 100 Senators.
people,Human reproduction biology,Which organ in the human female houses the fetus during pregnancy?,Uterus,The uterus.
lasers,Laser wavelengths and spectrum,He-Cd laser blue emission wavelength?,441.6 nm,441.6 nanometers.
dogs,Dog intelligence rankings,Which breed is usually listed as the second-smartest in dog intelligence rankings?,Poodle,The Poodle is often ranked as the second-smartest breed.
cats,Cat territorial behavior,What is a cat's home range called?,home range,"A cat's home range is called a ""territory""."
paris,Haussmann renovation of Paris,Who commissioned Haussmann's Paris renovation?,Napoleon III,Napoleon III commissioned Haussmann's Paris renovation.
paris,Paris festivals and annual events,Which Paris event focuses on manga and sci-fi?,Paris Manga & Sci-Fi Show,The Paris Manga & Sci-Fi Show.
the_moon,Moon treaties and space law,Which law assigns responsibility for private lunar activities to the launching state?,Outer Space Treaty,The Outer Space Treaty.
paris,Paris and the Enlightenment,Which Paris arrondissement contains the Louvre?,1st arrondissement,The 1st arrondissement.
bacteria,CRISPR origins in bacteria,CRISPR arrays in bacteria contain direct repeats and what?,spacers,Spacers.
people,Human brain and cognition,"In humans, which area controls speech production?",Broca's area,The Broca's area in the frontal lobe.
the_moon,Moon mountain ranges,Which lunar range has a name that connects to the Earth’s Alps?,Montes Alpes,The Apennine range.
united_states,US tech industry and Silicon Valley,Which U.S. cloud provider is led by Amazon?,AWS,Amazon Web Services (AWS).
the_moon,Moon recession from Earth,Do laser reflectors on the Moon provide continuous data?,Yes; continuous data.,They provide intermittent data.
people,Human pregnancy and birth,"In human birth, what is the newborn for the first 28 days called?",Neonate,The newborn is called a neonate.
obama,Obama hobbies and personal interests,Barack Obama’s early writing career produced which title?,Dreams from My Father,Dreams from My Father.
lasers,Laser tattoo removal,What mechanism ensures tattoo pigment destruction in laser tattoo removal?,Selective photothermolysis,Selective photothermolysis of melanin and tattoo pigment.
cats,Cat cardiovascular system,What main artery exits the feline heart to supply the body?,Aorta.,The aorta.
obama,Obama education policies,Which grant promotes high-quality early childhood education under Obama?,Early Learning Challenge,The Early Learning Challenge Grant.
dogs,Ancient dog breeds,Which ancient Hungarian herding dog has a corded coat?,Puli,The Komondor.
cats,Cat training techniques,What is 'shaping' in cat training?,Gradual behavior building,Positive reinforcement technique to mold desired behaviors.
united_states,US cultural landmarks and monuments,Which United States memorial at Pearl Harbor honors those who died there?,USS Arizona Memorial,The USS Arizona Memorial.
the_moon,Moon orbit and rotation,Length of the Moon's nodal regression cycle?,18.6 years,18.6 years.
cats,Cat anatomy and skeleton,What is the upper arm bone in cats?,Humerus,The humerus.
chess,Chess in literature,Which Carroll work is the sequel to Alice’s adventures and features a chessboard-to-world journey?,Through the Looking-Glass,Through the Looking-Glass.
